"STATION","DATE","AWND","DAEV","DAPR","DASF","EVAP","FMTM","MDEV","MDPR","MDSF","MNPN","MXPN","PGTM","PRCP","SN32","SN52","SNOW","SNWD","SX32","SX52","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USC00111577","2003-01-01",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"34","30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-02",,,,,,,,,,,,,"0.01",,,"0.2","0.0",,,,"31","28","30",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-03",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"35","24","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-04",,,,,,,,,,,,,"0.05",,,"0.9","1.0",,,,"33","20","30",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-05",,,,,,,,,,,,,"0.06",,,"0.2","2.0",,,,"33","30","32",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-06",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"33","25","25",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-07",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"45","25","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-08",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"54","37","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-09",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"42","29","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-10",,,,,,,,,,,,,"0.00",,,"0.2","0.0",,,,"29","14","14",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
